provinsi,tahun,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Banten,2016,1901.179264,1263,99.72,12203.1,2.23,5.39,5.28,70.96,117548,138.64,21033
DI. Yogyakarta,2016,54.33603038,1188,99.93,3720.9,1.18,13.22,5.05,78.38,57665,130.18,12070
Jawa Barat,2016,3400.028177,1339,99.85,47379.4,1.54,8.86,5.66,70.05,480240,122.88,14791
Jawa Tengah,2016,2094.342478,1037,99.88,34019.1,0.79,13.23,5.27,69.98,1030374,132.43,9965
Jawa Timur,2016,2869.280518,817,99.85,39075.3,0.66,11.95,5.57,69.74,820844,141.95,11226
Banten,2017,3326.277169,1288,99.95,12448.2,2.2,5.52,5.75,71.42,105710,167.57,19719
DI. Yogyakarta,2017,83.45767795,1201,99.9,3762.2,1.17,12.69,5.26,78.89,97319,149.73,12281
Jawa Barat,2017,5146.879126,1358,99.91,48037.6,1.52,8.27,5.33,70.69,574175,124.2,16202
Jawa Tengah,2017,3132.674704,1044,99.91,34257.9,0.78,12.62,5.26,70.52,892631,127.99,10569
Jawa Timur,2017,3960.130272,822,99.92,39293,0.64,11.485,5.46,70.27,852301,146.38,11883
Banten,2018,3231.080351,1313,99.77,12689.7,2.17,5.245,5.82,71.95,109959,167.57,20565
DI. Yogyakarta,2018,107.768174,1214,99.92,3802.9,1.16,11.97,6.2,79.53,113430,149.73,12554
Jawa Barat,2018,3983.455038,1376,99.94,48683.7,1.5,7.35,5.66,71.3,536207,124.2,16843
Jawa Tengah,2018,2249.48237,1052,99.92,34490.8,0.77,11.255,5.31,71.12,914850,127.99,11417
Jawa Timur,2018,3647.527908,826,99.85,39500.9,0.63,10.915,5.5,70.77,779390,146.38,12561
Banten,2019,4390.94061,1338,99.86,12927.3,2.14,5.015,5.53,72.44,113139,193.2,21003
DI. Yogyakarta,2019,52.13520809,1227,99.82,3842.9,1.15,11.57,6.6,79.99,146658,162.63,13275
Jawa Barat,2019,6012.848714,1394,99.96,49316.7,1.48,6.865,5.07,72.03,629597,136.62,17365
Jawa Tengah,2019,2344.756086,1058,99.93,34718.2,0.76,10.69,5.41,71.73,912421,138.42,11828
Jawa Timur,2019,4399.441956,831,99.89,39698.6,0.62,10.285,5.52,71.5,862450,174.53,13119
Banten,2020,1952.394753,1232,99.82,11904.6,1.1,6.275,-3.39,72.45,107677,158.23,23035
DI. Yogyakarta,2020,43.59154241,1171,99.91,3668.7,0.58,12.54,-2.67,79.97,137499,136.75,15771
Jawa Barat,2020,3138.008552,1365,99.94,48274.2,1.11,8.155,-2.52,72.09,625943,109.8,19078
Jawa Tengah,2020,2415.890339,1113,99.95,36516,1.17,11.625,-2.65,71.87,898162,110.83,12707
Jawa Timur,2020,4354.225422,851,99.95,40665.7,0.79,11.275,-2.33,71.71,828482,175.74,14389
Banten,2021,1826.157231,1248,99.95,12061.5,1.76,6.58,4.49,72.72,103828,135.13,24839
DI. Yogyakarta,2021,54.40584087,1185,100,3712.9,1.61,12.355,5.58,80.22,107891,143.44,15098
Jawa Barat,2021,2282.886978,1379,99.93,48782.4,1.41,8.185,3.74,72.45,622225,112.05,19716
Jawa Tengah,2021,1844.675434,1120,99.96,36742.5,0.83,11.52,3.33,72.16,855488,115.8,13072
Jawa Timur,2021,3076.711978,855,99.93,40878.8,0.7,10.995,3.56,72.14,762015,180.72,14789
Banten,2022,1478.545817,1310,99.8,12252,1.66,6.2,5.03,73.32,102359,140.94,23880
DI. Yogyakarta,2022,27.58489816,1186,99.96,3761.9,1.44,11.415,5.15,80.64,123572,154.46,14916
Jawa Barat,2022,2324.36009,1334,99.98,49405.8,1.33,8.02,5.45,73.12,667795,114.37,19038
Jawa Tengah,2022,1799.134296,1078,99.98,37032.4,0.81,10.955,5.31,72.79,892108,117.56,12604
Jawa Timur,2022,2565.293801,857,99.98,41150,0.68,10.435,5.34,72.75,874497,185.52,15119
