provinsi,tahun,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Kalimantan Barat,2016,277231.1514,33,89.17,4861.7,1.63,7.935,5.2,65.88,55113,121.93,13580
Kalimantan Selatan,2016,63129.56237,105,98.74,4055.5,1.81,4.685,4.4,69.05,57477,141.19,14007
Kalimantan Tengah,2016,483232.415,17,93.99,2550.2,2.33,5.51,6.36,69.13,12599,120.79,16515
Kalimantan Timur,2016,340042.1563,27,98.67,3501.2,2.58,6.055,-0.36,74.59,12028,133.82,18514
Kalimantan Barat,2017,174613.8034,33,91.51,4932.5,1.61,7.87,5.17,66.26,55044,126.78,14734
Kalimantan Selatan,2017,35933.62505,106,99.16,4119.8,1.77,4.715,5.28,69.65,88272,165.45,15507
Kalimantan Tengah,2017,99409.57677,17,96,2605.3,2.31,5.315,6.73,69.79,34587,145.92,16737
Kalimantan Timur,2017,163589.7783,28,99.14,3575.4,2.31,6.135,3.13,75.12,33098,143.97,21864
Kalimantan Barat,2018,152163.8635,34,93.2,5001.7,1.58,7.57,5.07,66.98,52835,126.78,14614
Kalimantan Selatan,2018,35836.44327,108,99.46,4182.7,1.74,4.595,5.12,70.17,70362,165.45,15735
Kalimantan Tengah,2018,106264.4078,17,97.04,2660.2,2.28,5.135,5.65,70.42,31640,145.92,17489
Kalimantan Timur,2018,180151.4529,28,99.53,3648.8,2.28,6.045,2.67,75.83,33725,143.97,21303
Kalimantan Barat,2019,137376.0874,34,94.77,5069.1,1.56,7.385,5,67.65,43024,141.97,15309
Kalimantan Selatan,2019,41761.23013,110,99.58,4244.1,1.71,4.51,4.08,70.72,57753,223.15,16517
Kalimantan Tengah,2019,117577.2777,18,97.9,2714.9,2.26,4.895,6.16,70.91,25463,162.8,18090
Kalimantan Timur,2019,157530.2608,29,99.46,3721.4,2.24,5.925,4.77,76.61,32042,230.03,21691
Kalimantan Barat,2020,117590.9511,37,95.65,5414.4,2.04,7.205,-1.82,67.66,39149,119.49,16098
Kalimantan Selatan,2020,19947.28581,105,99.68,4073.6,1.13,4.605,-1.82,70.91,55633,197.35,18863
Kalimantan Tengah,2020,88162.34237,17,98.32,2670,1.84,5.04,-1.41,71.05,23273,132.4,20677
Kalimantan Timur,2020,113278.3246,29,99.52,3766,2.13,6.37,-2.9,76.24,24644,212.93,24097
Kalimantan Barat,2021,105302.0216,37,96.51,5470.8,1.39,6.995,4.8,67.9,40037,128.53,16127
Kalimantan Selatan,2021,20145.15872,106,99.76,4122.6,1.61,4.695,3.48,71.28,57075,192.45,18874
Kalimantan Tengah,2021,51271.85681,18,98.75,2702.2,1.61,5.16,3.59,71.25,26007,143.64,21040
Kalimantan Timur,2021,91568.66199,30,99.82,3808.2,1.5,6.405,2.55,76.88,26602,216.19,23943
Kalimantan Barat,2022,132338.921,38,97.02,5541.4,1.33,6.77,5.07,68.63,39124,154.81,16337
Kalimantan Selatan,2022,16641.88493,113,99.74,4182.1,1.51,4.55,5.11,71.84,54528,212.82,18661
Kalimantan Tengah,2022,69690.52053,18,98.81,2741.1,1.51,5.25,6.45,71.63,23952,144.81,19795
Kalimantan Timur,2022,77005.31946,30,99.76,3859.8,1.41,6.375,4.48,77.44,26224,239.22,22281
