provinsi,tahun,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Maluku Utara,2016,26723.31152,37,89.99,1185.9,2.16,6.37,5.77,66.63,7051,192.14,15226
Maluku,2016,27113.40866,37,88.14,1715.5,1.79,19.22,5.73,67.6,19575,188.3,16153
Papua Barat,2016,26314.53205,9,86.39,893.4,2.61,25.155,4.52,62.21,1523,144.74,18314
Papua,2016,81190.46591,10,50.9,3207.4,1.95,28.47,9.14,58.05,7457,136.38,22961
Maluku Utara,2017,10536.8019,38,94.23,1209.3,2.13,6.395,7.67,67.2,31908,234.15,15760
Maluku,2017,7216.994197,37,91.35,1744.7,1.78,18.37,5.82,68.19,41867,221.46,16275
Papua Barat,2017,15724.1268,9,90.1,915.4,2.59,24.11,4.02,62.99,11077,150.98,19911
Papua,2017,48560.89229,10,55.81,3265.2,1.93,27.69,4.64,59.09,12481,162.46,25657
Maluku Utara,2018,12270.21499,39,95.24,1232.6,2.11,6.63,7.92,67.76,29311,234.15,15864
Maluku,2018,10953.1701,38,92.63,1773.8,1.77,17.985,5.94,68.87,45959,221.46,14923
Papua Barat,2018,20295.75623,9,92.31,937.5,2.57,22.835,6.25,63.74,7306,150.98,21727
Papua,2018,34056.90482,10,65.9,3322.5,1.9,27.585,7.37,60.06,15842,162.46,25987
Maluku Utara,2019,13993.34608,39,95.52,1255.8,2.08,6.84,6.13,68.7,14213,280.09,17425
Maluku,2019,16494.96569,38,95.16,1802.9,1.75,17.67,5.57,69.45,25004,294.15,17306
Papua Barat,2019,16292.29992,9,94.36,959.6,2.55,21.84,2.66,64.7,6743,184.5,22987
Papua,2019,34107.51215,11,72.37,3379.3,1.88,27.04,-15.72,60.84,15481,167.92,24984
Maluku Utara,2020,7358.364747,40,97.14,1282.9,2.07,6.875,5.39,68.49,13583,280.78,23338
Maluku,2020,5477.30304,39,95.21,1848.9,1.83,17.715,-0.91,69.49,22201,231.49,26198
Papua Barat,2020,16084.1611,11,94.95,1134.1,3.94,21.535,-0.76,65.09,4558,185.79,27904
Papua,2020,29515.0904,13,73.83,4303.7,4.13,26.72,2.39,60.44,12094,167.13,32138
Maluku Utara,2021,5994.927292,41,96.7,1299.2,1.69,6.635,16.79,68.76,16145,305.63,21131
Maluku,2021,3648.230132,40,96.15,1862.6,0.99,17.085,3.05,69.71,35364,209.38,21156
Papua Barat,2021,12119.63234,11,95.8,1156.8,2.69,21.83,-0.51,65.26,6069,199.6,29600
Papua,2021,26072.63027,14,79.12,4355.4,1.61,27.12,15.16,60.62,16109,216.79,30382
Maluku Utara,2022,6307.218342,40,97.24,1319.3,1.61,6.3,22.94,69.47,16080,314.46,18278
Maluku,2022,4946.745196,41,96.36,1881.7,1.01,16.1,5.11,70.22,33613,248.69,17006
Papua Barat,2022,13623.58423,12,95.49,1183.3,2.46,21.38,2.01,65.89,6273,224.27,24128
Papua,2022,28285.42366,14,79.96,4418.6,1.52,26.68,8.97,61.39,14504,232.71,24097
