provinsi,tahun,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Gorontalo,2016,10383.16922,102,95.05,1150.8,1.62,17.675,6.52,66.29,13216,161.51,13088
Sulawesi Barat,2016,13341.06155,78,94.25,1306.5,1.93,11.465,6.01,63.6,11874,155.71,11730
Sulawesi Selatan,2016,29972.24344,184,97.58,8606.4,1.1,9.32,7.42,69.76,118473,123.52,14827
Sulawesi Tengah,2016,72942.23823,47,92.79,2921.7,1.67,14.27,9.98,67.47,22396,160.96,13238
Sulawesi Tenggara,2016,37479.5156,67,94.11,2551,2.16,12.825,6.51,69.31,47270,141.22,23444
Sulawesi Utara,2016,8668.748774,176,99.36,2436.9,1.13,8.27,6.17,71.05,39470,128.87,16046
Gorontalo,2017,7473.782997,104,96.86,1168.2,1.61,17.395,6.73,67.01,36950,186.74,12784
Sulawesi Barat,2017,12232.0389,79,95.39,1331,1.93,11.24,6.39,64.3,22446,187.38,12741
Sulawesi Selatan,2017,22822.99749,186,98.53,8690.3,1.08,9.43,7.21,70.34,123379,123.51,15841
Sulawesi Tengah,2017,36079.27323,48,94.85,2966.3,1.65,14.18,7.1,68.11,87190,169.3,13770
Sulawesi Tenggara,2017,26134.6215,68,96.55,2602.4,2.14,12.39,6.76,69.86,67883,167.96,16604
Sulawesi Utara,2017,5675.149817,178,99.3,2461,1.11,8,6.31,71.66,67230,135.3,17112
Gorontalo,2018,7614.401208,105,97.08,1185.5,1.59,16.32,6.5,67.71,30022,186.74,11891
Sulawesi Barat,2018,12663.01071,81,96.4,1355.6,1.92,11.235,6.25,65.1,26692,187.38,12144
Sulawesi Selatan,2018,18378.06313,188,98.9,8772,1.06,8.965,7.06,70.9,109179,123.51,15777
Sulawesi Tengah,2018,36516.2873,49,95.41,3010.4,1.63,13.85,6.28,68.88,89424,169.3,13462
Sulawesi Tenggara,2018,23009.10225,70,98.43,2653.7,2.12,11.475,6.42,70.61,69994,167.96,15944
Sulawesi Utara,2018,7273.122762,179,99.47,2484.4,1.09,7.695,6.01,72.2,48451,135.3,16954
Gorontalo,2019,10269.02771,107,98.8,1202.6,1.58,15.415,6.41,68.49,28715,349.62,13492
Sulawesi Barat,2019,12645.89281,82,98.03,1380.3,1.91,10.985,5.66,65.73,26295,259.1,13126
Sulawesi Selatan,2019,21060.06477,189,99.18,8851.2,1.05,8.625,6.92,71.66,129823,163.08,17105
Sulawesi Tengah,2019,44055.368,49,96.34,3054,1.61,13.33,7.15,69.5,85379,232.5,14682
Sulawesi Tenggara,2019,33105.98927,71,98.72,2704.7,2.1,11.14,6.51,71.2,49435,269.04,15849
Sulawesi Utara,2019,8635.82582,181,99.55,2507,1.07,7.585,5.66,72.99,37031,160.09,18350
Gorontalo,2020,2917.7911,104,99.03,1171.7,1.16,15.405,-0.02,68.68,28636,304.73,15128
Sulawesi Barat,2020,8330.103524,85,98.66,1419.2,1.98,11.185,-2.34,66.11,25892,294.09,18136
Sulawesi Selatan,2020,13534.36461,194,99.41,9073.5,1.18,8.855,-0.71,71.93,126489,158.9,19172
Sulawesi Tengah,2020,26112.93285,48,97.01,2985.7,1.22,12.99,4.86,69.55,84559,243.7,18140
Sulawesi Tenggara,2020,18305.38313,69,99.12,2624.9,1.58,11.345,-0.65,71.45,45588,260.04,20449
Sulawesi Utara,2020,3059.692529,189,99.72,2621.9,1.4,7.7,-0.99,72.93,37111,138.6,21390
Gorontalo,2021,2095.148984,105,99.26,1181,1.06,15.51,2.41,69,25761,372.28,14613
Sulawesi Barat,2021,9687.748285,86,99.14,1436.8,1.66,11.57,2.57,66.36,23835,315.09,18072
Sulawesi Selatan,2021,9655.330651,196,99.41,9139.5,0.97,8.655,4.64,72.24,122880,216.67,19217
Sulawesi Tengah,2021,22008.07988,49,97.85,3021.9,1.62,12.59,11.7,69.79,88515,289.08,20637
Sulawesi Tenggara,2021,11897.36306,70,99.43,2659.2,1.75,11.7,4.1,71.66,54885,293.13,19302
Sulawesi Utara,2021,2752.582866,190,99.76,2638.6,0.85,7.565,4.16,73.3,53303,144.18,20963
Gorontalo,2022,2682.035936,99,99.91,1192.7,1.02,15.465,4.04,69.81,31103,474.71,14289
Sulawesi Barat,2022,9799.647306,88,99.32,1458.6,1.58,11.835,2.3,66.92,27892,319.26,14774
Sulawesi Selatan,2022,14696.50308,204,99.64,9225.8,0.96,8.645,5.09,72.82,129679,281.09,17257
Sulawesi Tengah,2022,23990.62921,50,98.85,3066.1,1.53,12.315,15.17,70.28,88579,309.14,15890
Sulawesi Tenggara,2022,12767.25525,75,99.7,2701.7,1.66,11.22,5.53,72.23,44453,297.72,17542
Sulawesi Utara,2022,2660.635565,183,99.7,2659.5,0.82,7.31,5.42,73.81,44308,151.94,18335
