provinsi,tahun,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Aceh,2016,48736.07026,88,98.74,5096.2,2.01,16.58,3.3,70,65492,126.65,13627
Bangka Belitung,2016,56830.1647,85,98.8,1401.8,2.2,5.13,4.11,69.55,6151,95.86,14257
Bengkulu,2016,23913.48327,96,96.89,1904.8,1.69,17.175,5.29,69.33,12281,129.83,13471
Jambi,2016,154981.1229,69,96.52,3458.9,1.8,8.39,4.37,69.62,24169,119.14,13169
Kepulauan Riau,2016,12670.75796,247,99.1,2028.2,3.06,5.91,5.02,73.99,7468,126.21,21019
Lampung,2016,14965.39088,237,98.5,8205.1,1.21,14.075,5.15,67.65,80505,124.71,10385
Riau,2016,142558.683,75,96.57,6501,2.59,7.825,2.23,71.2,17435,102.47,15506
Sumatera Barat,2016,38506.18885,125,97.02,5259.5,1.31,7.115,5.27,70.73,67697,117.03,13206
Sumatera Selatan,2016,263623.8631,89,97.64,8160.9,1.46,13.465,5.04,68.24,49346,114.67,12523
Sumatera Utara,2016,76467.5144,193,96.84,14102.9,1.33,10.31,5.18,70,99022,130.25,11646
Aceh,2017,44484.97447,90,99.02,5189.5,1.98,16.405,4.18,70.6,99277,153.23,14809
Bangka Belitung,2017,24590.60916,87,99.17,1430.9,2.18,5.25,4.47,69.99,26348,103.78,14822
Bengkulu,2017,26638.74507,97,98.11,1934.3,1.67,16.02,4.98,69.95,26780,143.58,14011
Jambi,2017,83979.87799,70,97.96,3515,1.78,8.045,4.6,69.99,27792,135.61,14326
Kepulauan Riau,2017,7677.559422,254,99.1,2082.7,3.01,6.095,1.98,74.45,34394,138.38,19832
Lampung,2017,10762.51171,239,99.06,8289.6,1.18,13.365,5.16,68.25,99271,126.29,11234
Riau,2017,118836.9079,77,96.69,6657.9,2.57,7.595,2.66,71.79,65733,113.89,15182
Sumatera Barat,2017,50619.57886,127,97.81,5321.5,1.29,6.81,5.3,71.24,116539,114.01,14378
Sumatera Selatan,2017,113482.9483,90,98.3,8267,1.44,13.145,5.51,68.86,69868,120.64,12690
Sumatera Utara,2017,72239.87129,195,97.41,14262.1,1.3,9.75,5.12,70.57,152466,131.11,13396
Aceh,2018,44806.35252,91,99.42,5281.3,1.96,15.825,4.61,71.19,114042,153.23,13814
Bangka Belitung,2018,21407.04057,89,99.54,1459.9,2.16,5.01,4.46,70.67,25588,103.78,15818
Bengkulu,2018,24113.22226,99,98.05,1963.3,1.65,15.42,4.99,70.64,28271,143.58,14353
Jambi,2018,68375.88175,71,97.35,3570.3,1.75,7.885,4.74,70.65,34564,135.61,14007
Kepulauan Riau,2018,5950.246757,260,99.26,2136.5,2.95,6.015,4.58,74.84,29995,138.38,23212
Lampung,2018,9288.921533,242,99.54,8370.5,1.16,13.075,5.25,69.02,95493,126.29,11779
Riau,2018,97681.0743,78,97.49,6814.9,2.54,7.3,2.37,72.44,77876,113.89,15613
Sumatera Barat,2018,36814.51163,128,98.36,5382.1,1.27,6.6,5.16,71.73,108588,114.01,14431
Sumatera Selatan,2018,117115.4138,91,98.74,8370.3,1.41,12.81,6.04,69.39,73564,120.64,13214
Sumatera Utara,2018,63615.88613,198,97.55,14415.4,1.27,9.08,5.18,71.18,140608,131.11,13257
Aceh,2019,27787.99571,93,99.55,5371.5,1.93,15.165,4.15,71.9,106918,185.9,15065
Bangka Belitung,2019,24200.76756,91,99.71,1488.8,2.14,4.56,3.32,71.3,22799,113.72,17373
Bengkulu,2019,17680.66942,100,98.79,1991.8,1.63,15.07,4.96,71.21,21667,163.76,14511
Jambi,2019,66203.39382,72,98.85,3624.6,1.72,7.555,4.4,71.26,28159,149.02,14304
Kepulauan Riau,2019,8490.747783,267,99.64,2189.7,2.9,5.85,4.89,75.48,17031,201.52,22912
Lampung,2019,11775.30348,244,99.64,8447.7,1.13,12.46,5.27,69.57,95041,134.84,12575
Riau,2019,99456.58055,80,97.65,6971.7,2.52,6.99,2.84,73,59837,134.38,16270
Sumatera Barat,2019,30404.01132,130,98.8,5441.2,1.25,6.355,5.05,72.39,100712,124.53,15210
Sumatera Selatan,2019,94150.00351,92,99.1,8470.7,1.39,12.635,5.71,70.02,80307,135.04,13580
Sumatera Utara,2019,49950.15865,200,98.37,14562.5,1.24,8.73,5.22,71.74,127152,154.21,14061
Aceh,2020,29193.40502,91,99.65,5274.9,1.56,15.21,-0.37,71.99,103300,170.53,18099
Bangka Belitung,2020,23335.70485,89,99.64,1455.7,1.7,4.71,-2.29,71.47,21557,90.48,15763
Bengkulu,2020,15889.53177,101,98.98,2010.7,1.55,15.165,-0.02,71.4,20433,155.82,17407
Jambi,2020,76990.8559,71,98.74,3548.2,1.34,7.775,-0.51,71.29,26085,128.09,15840
Kepulauan Riau,2020,8419.323314,252,99.69,2064.6,2.02,6.025,-3.8,75.59,13779,204.64,25032
Lampung,2020,8604.494011,260,99.68,9007.8,1.65,12.55,-1.66,69.69,88526,108.09,14912
Riau,2020,91608.36079,73,98.83,6394.1,1.4,6.93,-1.13,72.71,50702,115.44,18411
Sumatera Barat,2020,29677.66542,132,99.05,5534.5,1.29,6.42,-1.61,72.38,94392,107.11,17571
Sumatera Selatan,2020,102057.2234,92,98.99,8467.4,1.25,12.82,-0.11,70.01,75569,116.31,15072
Sumatera Utara,2020,48362.31605,203,98.72,14799.4,1.28,8.945,-1.07,71.77,120163,130.09,15949
Aceh,2021,30829.75958,92,99.87,5333.7,1.49,15.43,2.79,72.18,113292,176.06,17037
Bangka Belitung,2021,29568.46203,90,99.75,1473.2,1.6,4.785,5.05,71.69,19152,95.87,17692
Bengkulu,2021,13817.27885,102,99.44,2032.9,1.48,14.825,3.27,71.64,20856,174,18271
Jambi,2021,72024.53876,72,99.03,3585.1,1.39,7.88,3.69,71.63,29384,141.66,16043
Kepulauan Riau,2021,4201.783372,258,99.71,2118.2,3.48,5.935,3.43,75.79,18025,208.57,25736
Lampung,2021,6778.890441,262,99.65,9081.8,1.1,12.145,2.77,69.9,84024,118.13,15224
Riau,2021,92529.9432,75,98.32,6493.6,2.08,7.06,3.36,72.94,45795,114.19,19144
Sumatera Barat,2021,35040.37594,133,98.86,5580.2,1.1,6.335,3.29,72.65,96633,119.94,16630
Sumatera Selatan,2021,72310.54877,93,98.98,8550.9,1.32,12.815,3.58,70.24,79115,120.79,15873
Sumatera Utara,2021,56579.79547,205,99.16,14936.2,1.23,8.75,2.61,72,132382,142.73,15486
Aceh,2022,28874.48324,95,99.84,5407.9,1.43,14.695,4.21,72.8,108498,177.94,16772
Bangka Belitung,2022,32351.28763,90,99.85,1494.6,1.52,4.53,4.4,72.24,19179,108.05,18132
Bengkulu,2022,23155.52867,102,99.61,2060.1,1.4,14.48,4.31,72.16,18789,175.44,16501
Jambi,2022,74431.64207,74,99.43,3631.1,1.33,7.66,5.13,72.14,32995,148.52,16042
Kepulauan Riau,2022,2727.939485,264,99.76,2179.8,3.15,6.135,5.09,76.46,17039,226.06,23528
Lampung,2022,6404.346072,273,99.77,9176.6,1.07,11.505,4.28,70.45,84533,148.12,13218
Riau,2022,83927.85707,74,99.13,6614.4,1.95,6.81,4.55,73.52,46486,118.38,18626
Sumatera Barat,2022,34799.55172,134,99.52,5640.6,1.09,5.98,4.36,73.26,87884,127.12,15887
Sumatera Selatan,2022,82604.2589,100,99.56,8657,1.27,11.925,5.23,70.9,74056,137.76,15978
Sumatera Utara,2022,46877.80113,209,99.49,15115.2,1.21,8.375,4.73,72.71,120914,146.04,15131
